App Name,Ad Name,Start Date,End Date,Time Zone,Currency,Country Code,Shop Plan,Device Type,Keyword,Match Type,Status,Bid,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Basic,desktop,live chat,exact,active,3.2,7,0,0.0,0,0.0,0.0,0.0,0.0,4.0,1.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Basic,desktop,chat,exact,active,2.7,7,1,0.142857,1,1.0,2.7,2.7,2.7,3.0,1.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Basic,desktop,inbox,exact,active,1.8,6,0,0.0,0,0.0,0.0,0.0,0.0,3.333333,1.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Basic,desktop,chatbot,exact,active,2.33,3,0,0.0,0,0.0,0.0,0.0,0.0,4.666666,1.5,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Basic,desktop,faq page,broad,active,0.8,3,0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.115384,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Grow,desktop,live chat,exact,active,3.2,2,0,0.0,0,0.0,0.0,0.0,0.0,4.0,1.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Advanced,desktop,live chat,exact,active,3.2,1,0,0.0,0,0.0,0.0,0.0,0.0,4.0,1.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Grow,desktop,inbox,exact,active,1.8,1,0,0.0,0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Basic,desktop,ai agent,broad,active,1.5,1,1,1.0,0,0.0,1.5,0.0,1.5,1.0,0.035714,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Basic,desktop,help center,exact,active,1.2,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Basic,desktop,faqs,exact,active,2.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Basic,desktop,faq,exact,active,2.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Grow,desktop,chatbot,exact,active,2.33,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Advanced,desktop,ai chatbot,exact,active,2.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Grow,desktop,ai chatbot,exact,active,2.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Basic,desktop,ai chatbot,exact,active,2.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Plus,desktop,whatsapp chat button,broad,active,0.8,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Grow,desktop,whatsapp chat button,broad,active,0.8,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Basic,desktop,whatsapp chat button,broad,active,0.8,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Grow,desktop,whatsapp ai chat,broad,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Basic,desktop,whatsapp ai chat,broad,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Basic,desktop,messenge chatbot,broad,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Basic,desktop,help center,broad,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Grow,desktop,customer support,broad,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Basic,desktop,customer support,broad,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Plus,desktop,chatgpt,broad,active,1.2,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Basic,desktop,chat with us,broad,active,0.5,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - VN | 20241016,2026-01-01,2026-01-31,UTC,USD,VN,Basic,desktop,chat gpt,broad,active,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
