App Name,Ad Name,Start Date,End Date,Time Zone,Currency,Country Code,Shop Plan,Device Type,Keyword,Match Type,Status,Bid,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2026-02-01,2026-02-28,UTC,USD,US,Basic,desktop,inbox,broad,active,3.0,185,2,0.01081,0,0.0,3.0,0.0,6.0,2.659459,0.379876,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2026-02-01,2026-02-28,UTC,USD,US,Basic,desktop,whatsapp chatbot,broad,paused,2.0,183,2,0.010928,0,0.0,2.0,0.0,4.0,3.852459,0.30808,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2026-02-01,2026-02-28,UTC,USD,GB,Basic,desktop,live chat,broad,active,3.9,83,4,0.048192,0,0.0,3.9,0.0,15.6,3.638554,0.174004,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2026-02-01,2026-02-28,UTC,USD,FR,Basic,desktop,inbox,broad,active,3.0,75,0,0.0,0,0.0,0.0,0.0,0.0,3.133333,0.490196,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2026-02-01,2026-02-28,UTC,USD,GB,Basic,desktop,inbox,broad,active,3.0,66,1,0.015151,1,1.0,3.0,3.0,3.0,2.893939,0.4125,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2026-02-01,2026-02-28,UTC,USD,US,Grow,desktop,whatsapp chatbot,broad,paused,2.0,63,5,0.079365,0,0.0,2.0,0.0,10.0,3.603174,0.366279,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2026-02-01,2026-02-28,UTC,USD,US,Grow,desktop,inbox,broad,active,3.0,59,1,0.016949,0,0.0,3.0,0.0,3.0,2.677966,0.453846,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2026-02-01,2026-02-28,UTC,USD,US,Basic,desktop,livechat,broad,active,1.9,50,6,0.12,3,0.5,1.5,3.0,9.0,2.92,0.961538,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2026-02-01,2026-02-28,UTC,USD,FR,Basic,desktop,chatbot,broad,active,4.9,47,4,0.085106,3,0.75,4.9,6.533333,19.6,3.638297,0.451923,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2026-02-01,2026-02-28,UTC,USD,US,Basic,desktop,live chat,broad,active,3.9,42,1,0.023809,0,0.0,3.9,0.0,3.9,4.738095,0.032992,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2026-02-01,2026-02-28,UTC,USD,FR,Basic,desktop,live chat,broad,active,3.9,37,5,0.135135,2,0.4,3.9,9.75,19.5,3.675675,0.165178,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2026-02-01,2026-02-28,UTC,USD,US,Basic,desktop,chatbot,broad,active,4.9,28,2,0.071428,1,0.5,4.9,9.8,9.8,4.607142,0.109375,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2026-02-01,2026-02-28,UTC,USD,US,Advanced,desktop,whatsapp chatbot,broad,paused,2.0,25,1,0.04,0,0.0,2.0,0.0,2.0,3.76,0.423728,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2026-02-01,2026-02-28,UTC,USD,GB,Basic,desktop,livechat,broad,active,1.9,25,0,0.0,0,0.0,0.0,0.0,0.0,3.32,0.961538,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2026-02-01,2026-02-28,UTC,USD,CA,Basic,desktop,chatbot,broad,active,4.9,25,2,0.08,0,0.0,4.9,0.0,9.8,3.24,0.471698,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2026-02-01,2026-02-28,UTC,USD,DE,Basic,desktop,live chat,broad,active,3.9,23,2,0.086956,1,0.5,3.9,7.8,7.8,3.086956,0.144654,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2026-02-01,2026-02-28,UTC,USD,FR,Basic,desktop,whatsapp chatbot,broad,paused,2.0,22,0,0.0,0,0.0,0.0,0.0,0.0,4.954545,0.071428,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2026-02-01,2026-02-28,UTC,USD,US,Plus,desktop,whatsapp chatbot,broad,paused,2.0,21,0,0.0,0,0.0,0.0,0.0,0.0,3.904761,0.4375,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2026-02-01,2026-02-28,UTC,USD,GB,Grow,desktop,inbox,broad,active,3.0,21,1,0.047619,0,0.0,3.0,0.0,3.0,2.619047,0.403846,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2026-02-01,2026-02-28,UTC,USD,GB,Basic,desktop,whatsapp chatbot,broad,paused,2.0,19,0,0.0,0,0.0,0.0,0.0,0.0,4.68421,0.048843,,,,,
