App Name,Ad Name,Start Date,End Date,Time Zone,Currency,Country Code,Shop Plan,Device Type,Keyword,Match Type,Status,Bid,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,US,Basic,desktop,inbox,broad,active,3.0,249,1,0.004016,0,0.0,3.0,0.0,3.0,2.526104,0.448648,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,FR,Basic,desktop,inbox,broad,active,3.0,80,1,0.0125,0,0.0,3.0,0.0,3.0,2.7375,0.462427,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,US,Grow,desktop,inbox,broad,active,3.0,76,0,0.0,0,0.0,0.0,0.0,0.0,2.68421,0.469135,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,US,Basic,desktop,whatsapp chatbot,broad,paused,2.0,75,1,0.013333,0,0.0,2.0,0.0,2.0,5.706666,0.101626,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,FR,Basic,desktop,chatbot,broad,active,4.9,73,6,0.082191,1,0.166666,4.899999,29.4,29.4,3.69863,0.363184,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,GB,Basic,desktop,inbox,broad,active,3.0,71,1,0.014084,1,1.0,3.0,3.0,3.0,3.084507,0.417647,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,FR,Basic,desktop,chat ia,broad,active,2.5,48,2,0.041666,1,0.5,2.5,5.0,5.0,3.729166,0.15238,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,FR,Basic,desktop,whatsapp chatbot,broad,paused,2.0,33,0,0.0,0,0.0,0.0,0.0,0.0,4.060606,0.085492,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,FR,Basic,desktop,live chat,broad,active,3.9,31,0,0.0,0,0.0,0.0,0.0,0.0,3.16129,0.08908,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,US,Basic,desktop,livechat,broad,active,1.9,30,3,0.1,2,0.666666,1.5,2.25,4.5,2.2,0.967741,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,US,Basic,desktop,live chat,broad,active,3.9,29,5,0.172413,2,0.4,3.9,9.75,19.5,5.068965,0.019822,1,79.96,4.100512,19.5,0.5
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,DE,Basic,desktop,whatsapp chatbot,broad,paused,2.0,27,1,0.037037,0,0.0,2.0,0.0,2.0,6.37037,0.080118,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,US,Basic,desktop,chatbot,broad,active,4.9,27,0,0.0,0,0.0,0.0,0.0,0.0,5.703703,0.086538,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,US,Advanced,desktop,inbox,broad,active,3.0,22,1,0.045454,0,0.0,3.0,0.0,3.0,2.681818,0.468085,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,GB,Basic,desktop,live chat,broad,active,3.9,21,2,0.095238,1,0.5,3.9,7.8,7.8,4.190476,0.046357,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,GB,Grow,desktop,inbox,broad,active,3.0,20,0,0.0,0,0.0,0.0,0.0,0.0,3.1,0.3125,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,DE,Basic,desktop,chatbot,broad,active,4.9,19,2,0.105263,1,0.5,4.9,9.8,9.8,3.578947,0.38,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,US,Plus,desktop,livechat,broad,active,1.9,18,0,0.0,0,0.0,0.0,0.0,0.0,2.277777,1.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,US,Plus,desktop,inbox,broad,active,3.0,18,0,0.0,0,0.0,0.0,0.0,0.0,3.166666,0.514285,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,DE,Basic,desktop,inbox,broad,active,3.0,18,0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.4,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,US,Grow,desktop,livechat,broad,active,1.9,17,2,0.117647,1,0.5,1.5,3.0,3.0,2.352941,1.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,DE,Basic,desktop,live chat,broad,active,3.9,17,0,0.0,0,0.0,0.0,0.0,0.0,2.647058,0.071129,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,FR,Trial,desktop,inbox,broad,active,3.0,16,0,0.0,0,0.0,0.0,0.0,0.0,2.75,0.457142,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,GB,Basic,desktop,whatsapp chatbot,broad,paused,2.0,15,0,0.0,0,0.0,0.0,0.0,0.0,7.2,0.024671,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,CA,Basic,desktop,inbox,broad,active,3.0,14,0,0.0,0,0.0,0.0,0.0,0.0,2.785714,0.160919,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,FR,Trial,desktop,chatbot,broad,active,4.9,14,1,0.071428,0,0.0,4.9,0.0,4.9,2.5,0.823529,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,CA,Basic,desktop,chit chat,broad,active,0.5,13,0,0.0,0,0.0,0.0,0.0,0.0,1.153846,1.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,FR,Basic,desktop,chat bots,broad,active,2.5,13,0,0.0,0,0.0,0.0,0.0,0.0,3.846153,0.115044,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,US,Basic,desktop,chatbox,broad,active,1.5,12,0,0.0,0,0.0,0.0,0.0,0.0,1.583333,0.857142,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,GB,Advanced,desktop,whatsapp chatbot,broad,paused,2.0,11,1,0.090909,0,0.0,2.0,0.0,2.0,8.90909,0.164179,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,GB,Basic,desktop,livechat,broad,active,1.9,11,3,0.272727,2,0.666666,1.5,2.25,4.5,2.090909,1.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - Broad - 4 Countries | 20241106 (20260309),2025-11-01,2025-11-30,UTC,USD,US,Trial,desktop,inbox,broad,active,3.0,11,0,0.0,0,0.0,0.0,0.0,0.0,2.818181,0.55,,,,,
