App Name,Ad Name,Start Date,End Date,Time Zone,Currency,Country Code,Shop Plan,Device Type,Keyword,Match Type,Status,Bid,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-12-01,2025-12-31,UTC,USD,IN,Basic,desktop,ai chat,broad,active,3.2,837,27,0.032258,6,0.222222,3.2,14.4,86.4,3.381123,0.219224,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-12-01,2025-12-31,UTC,USD,PK,Basic,desktop,ai chat,broad,active,3.2,544,10,0.018382,0,0.0,3.2,0.0,32.0,3.056985,0.34,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-12-01,2025-12-31,UTC,USD,IN,Basic,desktop,whatsapp ai chat,broad,active,1.5,316,5,0.015822,1,0.2,1.5,7.5,7.5,5.053797,0.06945,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-12-01,2025-12-31,UTC,USD,PK,Basic,desktop,whatsapp ai chat,broad,active,1.5,265,1,0.003773,0,0.0,1.5,0.0,1.5,4.792452,0.078194,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-12-01,2025-12-31,UTC,USD,IN,Basic,desktop,chat,exact,active,2.7,116,6,0.051724,5,0.833333,2.699999,3.24,16.2,2.991379,0.966666,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-12-01,2025-12-31,UTC,USD,PK,Trial,desktop,ai chat,broad,active,3.2,115,1,0.008695,1,1.0,3.2,3.2,3.2,3.243478,0.238589,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-12-01,2025-12-31,UTC,USD,PK,Trial,desktop,whatsapp ai chat,broad,active,1.5,111,1,0.009009,0,0.0,1.5,0.0,1.5,4.252252,0.117709,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-12-01,2025-12-31,UTC,USD,IN,Basic,desktop,chatbot,exact,active,2.73,84,11,0.130952,3,0.272727,2.73,10.01,30.03,3.678571,0.785046,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-12-01,2025-12-31,UTC,USD,MA,Basic,desktop,whatsapp ai chat,broad,active,1.5,68,0,0.0,0,0.0,0.0,0.0,0.0,3.485294,0.17801,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-12-01,2025-12-31,UTC,USD,IN,Basic,desktop,inbox,exact,active,2.0,68,0,0.0,0,0.0,0.0,0.0,0.0,2.455882,1.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-12-01,2025-12-31,UTC,USD,EG,Basic,desktop,ai chat,broad,active,3.2,65,0,0.0,0,0.0,0.0,0.0,0.0,3.492307,0.24074,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-12-01,2025-12-31,UTC,USD,IN,Grow,desktop,ai chat,broad,active,3.2,55,4,0.072727,0,0.0,3.2,0.0,12.8,2.963636,0.15625,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-12-01,2025-12-31,UTC,USD,AE,Basic,desktop,ai chat,broad,active,3.2,55,0,0.0,0,0.0,0.0,0.0,0.0,3.563636,0.116033,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-12-01,2025-12-31,UTC,USD,IL,Basic,desktop,whatsapp ai chat,broad,active,1.5,54,1,0.018518,0,0.0,1.5,0.0,1.5,4.185185,0.254716,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-12-01,2025-12-31,UTC,USD,IN,Basic,desktop,chatgpt,broad,active,3.0,52,0,0.0,0,0.0,0.0,0.0,0.0,2.115384,0.5,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-12-01,2025-12-31,UTC,USD,MA,Basic,desktop,ai chat,broad,active,3.2,51,0,0.0,0,0.0,0.0,0.0,0.0,3.039215,0.236111,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-12-01,2025-12-31,UTC,USD,AE,Basic,desktop,whatsapp ai chat,broad,active,1.5,49,0,0.0,0,0.0,0.0,0.0,0.0,5.224489,0.096646,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-12-01,2025-12-31,UTC,USD,IN,Trial,desktop,ai chat,broad,active,3.2,45,2,0.044444,0,0.0,3.2,0.0,6.4,3.8,0.068181,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-12-01,2025-12-31,UTC,USD,BR,Basic,desktop,ai chat,broad,active,3.2,38,1,0.026315,0,0.0,3.2,0.0,3.2,3.894736,0.150793,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-12-01,2025-12-31,UTC,USD,LB,Basic,desktop,whatsapp ai chat,broad,active,1.5,37,1,0.027027,0,0.0,1.5,0.0,1.5,3.918918,0.186868,,,,,
