App Name,Ad Name,Start Date,End Date,Time Zone,Currency,Country Code,Shop Plan,Device Type,Keyword,Match Type,Status,Bid,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2026-01-01,2026-01-31,UTC,USD,IN,Basic,desktop,ai chat,broad,active,3.2,535,19,0.035514,8,0.421052,3.199999,7.6,60.8,3.190654,0.153295,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2026-01-01,2026-01-31,UTC,USD,PK,Basic,desktop,ai chat,broad,active,3.2,465,7,0.015053,3,0.428571,3.199999,7.466666,22.4,2.658064,0.303129,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2026-01-01,2026-01-31,UTC,USD,PK,Basic,desktop,whatsapp ai chat,broad,active,1.5,322,0,0.0,0,0.0,0.0,0.0,0.0,4.593167,0.081829,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2026-01-01,2026-01-31,UTC,USD,IN,Basic,desktop,whatsapp ai chat,broad,active,1.5,306,5,0.016339,1,0.2,1.5,7.5,7.5,5.464052,0.05888,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2026-01-01,2026-01-31,UTC,USD,IN,Basic,desktop,chat,exact,active,2.7,112,4,0.035714,2,0.5,2.7,5.4,10.8,3.008928,0.982456,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2026-01-01,2026-01-31,UTC,USD,PK,Trial,desktop,whatsapp ai chat,broad,active,1.5,109,0,0.0,0,0.0,0.0,0.0,0.0,3.72477,0.113187,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2026-01-01,2026-01-31,UTC,USD,EG,Basic,desktop,whatsapp ai chat,broad,active,1.5,89,4,0.044943,1,0.25,1.5,6.0,6.0,4.168539,0.152397,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2026-01-01,2026-01-31,UTC,USD,PE,Basic,desktop,ai chat,broad,active,3.2,77,1,0.012987,0,0.0,3.2,0.0,3.2,3.38961,0.427777,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2026-01-01,2026-01-31,UTC,USD,MA,Basic,desktop,whatsapp ai chat,broad,active,1.5,74,4,0.054054,1,0.25,1.5,6.0,6.0,3.202702,0.244224,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2026-01-01,2026-01-31,UTC,USD,CO,Basic,desktop,ai chat,broad,active,3.2,74,5,0.067567,1,0.2,3.2,16.0,16.0,2.824324,0.191214,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2026-01-01,2026-01-31,UTC,USD,IN,Trial,desktop,ai chat,broad,active,3.2,69,2,0.028985,0,0.0,3.2,0.0,6.4,3.202898,0.115,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2026-01-01,2026-01-31,UTC,USD,AE,Basic,desktop,ai chat,broad,active,3.2,68,5,0.073529,2,0.4,3.2,8.0,16.0,2.955882,0.171284,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2026-01-01,2026-01-31,UTC,USD,LB,Basic,desktop,whatsapp ai chat,broad,active,1.5,66,1,0.015151,0,0.0,1.5,0.0,1.5,3.515151,0.294642,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2026-01-01,2026-01-31,UTC,USD,IN,Basic,desktop,inbox,exact,active,2.0,66,1,0.015151,0,0.0,2.0,0.0,2.0,2.333333,0.985074,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2026-01-01,2026-01-31,UTC,USD,BR,Basic,desktop,ai chat,broad,active,3.2,64,4,0.0625,0,0.0,3.2,0.0,12.8,3.75,0.206451,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2026-01-01,2026-01-31,UTC,USD,PK,Trial,desktop,ai chat,broad,active,3.2,58,2,0.034482,1,0.5,3.2,6.4,6.4,2.793103,0.152631,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2026-01-01,2026-01-31,UTC,USD,IL,Basic,desktop,whatsapp ai chat,broad,active,1.5,48,0,0.0,0,0.0,0.0,0.0,0.0,3.5625,0.217194,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2026-01-01,2026-01-31,UTC,USD,IN,Grow,desktop,ai chat,broad,active,3.2,44,1,0.022727,0,0.0,3.2,0.0,3.2,3.818181,0.111675,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2026-01-01,2026-01-31,UTC,USD,PK,Basic,desktop,chat,exact,active,2.7,43,2,0.046511,2,1.0,2.7,2.7,5.4,2.976744,0.977272,,,,,
