App Name,Ad Name,Start Date,End Date,Time Zone,Currency,Country Code,Shop Plan,Device Type,Keyword,Match Type,Status,Bid,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,IN,Basic,desktop,ai chat,broad,active,3.2,578,19,0.032871,5,0.263157,3.199999,12.16,60.8,3.036332,0.301512,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,IN,Basic,desktop,whatsapp ai chat,broad,active,1.5,453,3,0.006622,2,0.666666,1.366666,2.05,4.1,4.560706,0.089103,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,PK,Basic,desktop,whatsapp ai chat,broad,active,1.5,449,1,0.002227,0,0.0,1.1,0.0,1.1,4.541202,0.115424,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,PK,Basic,desktop,ai chat,broad,active,3.2,428,6,0.014018,0,0.0,3.199999,0.0,19.2,3.257009,0.328472,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,IN,Basic,desktop,ai chatbot,broad,active,3.1,237,5,0.021097,0,0.0,5.2,0.0,26.0,3.329113,0.201017,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,PK,Trial,desktop,whatsapp ai chat,broad,active,1.5,172,1,0.005813,0,0.0,1.5,0.0,1.5,4.465116,0.124367,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,PK,Trial,desktop,ai chat,broad,active,3.2,138,1,0.007246,1,1.0,3.2,3.2,3.2,3.057971,0.323185,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,IN,Basic,desktop,chatbot,exact,active,2.73,95,6,0.063157,3,0.5,2.63,5.26,15.78,3.231578,0.969387,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,IN,Trial,desktop,ai chatbot,broad,active,3.1,94,1,0.010638,0,0.0,5.2,0.0,5.2,2.882978,0.241025,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,IN,Basic,desktop,chat,exact,active,2.7,80,3,0.0375,3,1.0,2.699999,2.699999,8.1,2.6625,0.941176,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,IN,Basic,desktop,whatsapp chat button,broad,active,1.0,68,0,0.0,0,0.0,0.0,0.0,0.0,2.897058,0.080094,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,IN,Basic,desktop,customer support,broad,active,1.3,63,0,0.0,0,0.0,0.0,0.0,0.0,3.95238,0.05147,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,IN,Basic,desktop,chatgpt,broad,active,3.0,61,0,0.0,0,0.0,0.0,0.0,0.0,2.393442,0.554545,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,IN,Trial,desktop,ai chat,broad,active,3.2,55,0,0.0,0,0.0,0.0,0.0,0.0,2.763636,0.214843,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,AE,Basic,desktop,ai chat,broad,active,3.2,53,0,0.0,0,0.0,0.0,0.0,0.0,3.81132,0.19343,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,MA,Basic,desktop,ai chat,broad,active,3.2,45,0,0.0,0,0.0,0.0,0.0,0.0,2.777777,0.391304,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,TR,Basic,desktop,ai chat,broad,active,3.2,44,0,0.0,0,0.0,0.0,0.0,0.0,3.386363,0.285714,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,IN,Grow,desktop,whatsapp ai chat,broad,active,1.5,40,2,0.05,0,0.0,1.1,0.0,2.2,4.85,0.106382,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,IN,Trial,desktop,whatsapp ai chat,broad,active,1.5,39,0,0.0,0,0.0,0.0,0.0,0.0,4.205128,0.098484,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,MA,Basic,desktop,whatsapp ai chat,broad,active,1.5,39,0,0.0,0,0.0,0.0,0.0,0.0,3.615384,0.156626,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,EG,Basic,desktop,ai chat,broad,active,3.2,38,1,0.026315,0,0.0,3.2,0.0,3.2,3.657894,0.245161,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,IN,Grow,desktop,ai chat,broad,active,3.2,37,0,0.0,0,0.0,0.0,0.0,0.0,3.135135,0.188775,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,PK,Basic,desktop,ai chatbot,broad,active,3.1,36,1,0.027777,1,1.0,5.2,5.2,5.2,3.972222,0.197802,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,LB,Basic,desktop,ai chat,broad,active,3.2,35,2,0.057142,0,0.0,3.2,0.0,6.4,2.742857,0.432098,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,CO,Basic,desktop,ai chat,broad,active,3.2,35,0,0.0,0,0.0,0.0,0.0,0.0,3.428571,0.135135,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,IN,Basic,desktop,inbox,exact,active,2.0,34,0,0.0,0,0.0,0.0,0.0,0.0,1.5,0.944444,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,ES,Basic,desktop,ai chat,broad,active,3.2,33,0,0.0,0,0.0,0.0,0.0,0.0,4.242424,0.108196,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,IN,Basic,desktop,live chat,exact,active,3.6,30,4,0.133333,3,0.75,3.6,4.8,14.4,2.633333,0.967741,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,CL,Basic,desktop,whatsapp ai chat,broad,active,1.5,29,0,0.0,0,0.0,0.0,0.0,0.0,4.586206,0.097315,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,ZA,Basic,desktop,ai chat,broad,active,3.2,29,2,0.068965,1,0.5,3.2,6.4,6.4,3.413793,0.258928,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,IL,Basic,desktop,ai chat,broad,active,3.2,28,1,0.035714,0,0.0,3.2,0.0,3.2,3.0,0.274509,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,IN,Grow,desktop,ai chatbot,broad,active,3.1,28,0,0.0,0,0.0,0.0,0.0,0.0,2.428571,0.239316,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,IT,Basic,desktop,whatsapp ai chat,broad,active,1.5,27,0,0.0,0,0.0,0.0,0.0,0.0,4.814814,0.043338,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,LB,Basic,desktop,whatsapp ai chat,broad,active,1.5,25,1,0.04,0,0.0,1.1,0.0,1.1,3.56,0.171232,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,JP,Basic,desktop,whatsapp ai chat,broad,active,1.5,25,2,0.08,1,0.5,1.3,2.6,2.6,3.48,0.735294,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,CO,Basic,desktop,whatsapp ai chat,broad,active,1.5,25,0,0.0,0,0.0,0.0,0.0,0.0,5.76,0.038051,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,TR,Basic,desktop,inbox,exact,active,2.0,25,0,0.0,0,0.0,0.0,0.0,0.0,2.8,1.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,PK,Basic,desktop,inbox,exact,active,2.0,25,1,0.04,0,0.0,2.0,0.0,2.0,2.04,0.961538,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,PK,Grow,desktop,ai chat,broad,active,3.2,24,0,0.0,0,0.0,0.0,0.0,0.0,3.625,0.413793,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,PT,Basic,desktop,ai chat,broad,active,3.2,24,0,0.0,0,0.0,0.0,0.0,0.0,3.75,0.285714,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,ES,Basic,desktop,whatsapp ai chat,broad,active,1.5,23,0,0.0,0,0.0,0.0,0.0,0.0,6.304347,0.049676,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,EG,Basic,desktop,whatsapp ai chat,broad,active,1.5,23,1,0.043478,0,0.0,1.5,0.0,1.5,5.0,0.051454,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,JP,Basic,desktop,chat,exact,active,2.7,23,0,0.0,0,0.0,0.0,0.0,0.0,3.608695,0.958333,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,CN,Basic,desktop,whatsapp ai chat,broad,active,1.5,22,0,0.0,0,0.0,0.0,0.0,0.0,5.363636,0.198198,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,BR,Basic,desktop,ai chat,broad,active,3.2,22,0,0.0,0,0.0,0.0,0.0,0.0,4.454545,0.127167,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keywords - Exact | 20241016,2025-10-01,2025-10-31,UTC,USD,TR,Basic,desktop,whatsapp ai chat,broad,active,1.5,21,0,0.0,0,0.0,0.0,0.0,0.0,4.285714,0.05691,,,,,
