App Name,Ad Name,Start Date,End Date,Time Zone,Currency,Country Code,Shop Plan,Device Type,Keyword,Match Type,Status,Bid,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - FR | 20260309,2026-03-01,2026-03-31,UTC,USD,FR,Basic,desktop,whatsapp chatbot,broad,active,2.0,82,1,0.012195,0,0.0,2.0,0.0,2.0,3.512195,0.427083,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - FR | 20260309,2026-03-01,2026-03-31,UTC,USD,FR,Basic,desktop,inbox,exact,active,3.0,27,2,0.074074,1,0.5,3.0,6.0,6.0,2.296296,1.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - FR | 20260309,2026-03-01,2026-03-31,UTC,USD,FR,Grow,desktop,whatsapp chatbot,broad,active,2.0,8,0,0.0,0,0.0,0.0,0.0,0.0,3.125,0.285714,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - FR | 20260309,2026-03-01,2026-03-31,UTC,USD,FR,Basic,desktop,chatbot,exact,active,3.3,6,1,0.166666,1,1.0,3.3,3.3,3.3,4.333333,0.157894,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - FR | 20260309,2026-03-01,2026-03-31,UTC,USD,FR,Trial,desktop,whatsapp chatbot,broad,active,2.0,3,0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.5,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - FR | 20260309,2026-03-01,2026-03-31,UTC,USD,FR,Plus,desktop,open ai,broad,active,1.0,3,0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.75,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - FR | 20260309,2026-03-01,2026-03-31,UTC,USD,FR,Basic,desktop,livechat,broad,active,3.0,3,1,0.333333,0,0.0,3.0,0.0,3.0,2.333333,1.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - FR | 20260309,2026-03-01,2026-03-31,UTC,USD,FR,Grow,desktop,inbox,exact,active,3.0,2,0,0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - FR | 20260309,2026-03-01,2026-03-31,UTC,USD,FR,Basic,desktop,chatbot ia,exact,active,3.3,2,0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.285714,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - FR | 20260309,2026-03-01,2026-03-31,UTC,USD,FR,Basic,desktop,messenger,broad,active,1.5,2,0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.4,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - FR | 20260309,2026-03-01,2026-03-31,UTC,USD,FR,Trial,desktop,inbox,exact,active,3.0,1,0,0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Main keyword - FR | 20260309,2026-03-01,2026-03-31,UTC,USD,FR,Advanced,desktop,chatbot,exact,active,3.3,1,1,1.0,0,0.0,3.3,0.0,3.3,6.0,0.333333,,,,,
